date,tool,model,purpose,data_type,contains_raw_data,contains_identifiable_data,external_api_used,output_summary,researcher_decision
2026-07-09,codex,gpt-5-codex,CSR C02 yöntem/ölçüm literatür kanıt taraması ve Evidentia destekli kayıt/log üretimi,CSR yöntem metni; DOI/PMID/YÖK metadata; ham veri yok,no,no,yes,"doktoratezi outputs/reports/csr_evidentia_c02_search_log.md ve outputs/tables/csr_evidentia_c02_records.csv oluşturuldu; 25 C02 kaynak kaydı, full-text/metadata statüsü ve adjudication notları yazıldı","CSR metnine geçmeden önce C02 kaynak/gap ledgerı üretildi; Hisli 1989, Apalaçi 1996, Textor 2017 ve bazı kitap/metod kaynakları gap/metadata-only olarak işaretlendi"
2026-07-09,Codex-Evidentia,GPT-5-Codex,"CSR C01/C02 literatür tam referans entegrasyonu; Anna's Reader, PubMed/EPMC, CrossRef ve YÖK metadata doğrulaması",Yayın DOI/PMID/YÖK metadata; CSR kaynakça ve audit logları; ham katılımcı verisi yok,no,no,yes,"doktoratezi CSR metni, references.bib, C01/C02 audit logları ve makine-okunur kayıtlar tam referans ve erişim statüsüyle güncellendi",Araştırmacı nihai kaynakça ve tam metin erişim sınırlılıklarını gözden geçirmeli
2026-07-09,Codex-Evidentia-OpenAthens,GPT-5-Codex,OpenAthens MCP batch çalıştırma ve CSR C01/C02 erişim statüsü güncellemesi,Yayın DOI metadata ve tam metin erişim statüsü; ham katılımcı verisi yok,no,no,yes,OpenAthens MCP oa_server_info ve batch f7711683320abf8b çalıştırıldı; C01/C02 log ve CSV erişim statüleri güncellendi,Rosenbaum-Rubin PDF-level erişim kabul edildi; hata sayfası dönen OpenAthens çıktıları içerik kanıtı sayılmadı
2026-07-09,Codex Evidentia/PubMed/CrossRef/Anna's,GPT-5 Codex,CSR C03 literatur evidence mapping,non-PII bibliographic metadata and method concepts,no,no,yes,Created C03 Evidentia search log and evidence records without raw data transfer,pending CSR integration
2026-07-09,Codex,GPT-5,CSR C03 tam metin literatür zenginleştirme ve metin entegrasyonu,"literatür DOI/PMID metadata, telifli tam metin parafrazı, CSR metni",no,no,yes,"C03 CSR §9-10 full-text destekli zenginleştirildi; references.bib, CSR kaynakçası, C03 log ve CSV güncellendi; ham veri aktarılmadı.",Araştırmacı nihai metni ve kaynakça kullanımını gözden geçirecek.
2026-07-09,Codex,GPT-5,CSR C04 Evidentia literatür taraması,"literatür DOI/PMID metadata, telifli tam metin parafrazı, CSR C04 aggregate metni",no,no,yes,C04 primary H1-H5 evidence log and records created; ham veri aktarılmadı.,Araştırmacı sonraki turda CSR entegrasyonunu gözden geçirecek.
2026-07-09,Codex-Evidentia-OpenAthens,GPT-5-Codex,doktoratezi CSR C04 OpenAthens full-text retrieval and evidence-status update,Bibliographic DOI/title metadata only; no raw participant data,no,no,yes,"OpenAthens MCP activated via Streamable HTTP; Van Gampelaere 2020 full text found and ingested; Pinquart, Sharpe-Rossiter, Lovejoy, Bland-Altman, Stuart-Hodges gaps documented in CSR C04 audit logs",Researcher to decide whether to revise CSR main text using updated evidence status
2026-07-09,Codex-Evidentia,GPT-5-Codex,CSR C05 keşifsel analiz literatür evidence map oluşturma,CSR aggregate yöntem/bulgu metni; ham veri yok,no,no,yes,doktoratezi outputs/reports/csr_evidentia_c05_search_log.md ve outputs/tables/csr_evidentia_c05_records.csv oluşturuldu; 26 kaynak kaydı DOI/PMID/erişim durumu ile izlendi,Sonraki adımda CSR metnine sınırlayıcı keşifsel yorum olarak entegre edilecek
2026-07-09,Codex + Evidentia/OpenAthens/Anna's/PubMed,GPT-5 Codex,CSR C05 referanslarının OpenAthens ve Anna's ile tam metin doğrulaması,"CSR aggregate yöntem metni, DOI/PMID/PMCID bibliyografik kayıtları; ham veri yok",no,no,yes,C05 full-text scan raporu ve 26 satırlık full-text kapanış CSV'si üretildi; C05 ana search loguna bağlantı eklendi.,C05 keşifsel/ikincil yorumları tam metinle güçlendi; doğrulayıcı veya nedensel dile yükseltilmeyecek.
2026-07-09,crossref-api,metadata-query,C05 CSR kaynakca DOI metadata teyidi,bibliyografik DOI metadata; ham veri yok,no,no,yes,C05 metodolojik kaynaklarin CSR kaynakca konyeleri CrossRef metadata ile kontrol edildi; katilimci verisi gonderilmedi,CSR C05 kaynakca entegrasyonu icin kullanildi
2026-07-09,codex,gpt-5,doktoratezi CSR C06 icin Evidentia/PubMed/OpenAlex/Anna bibliyografik tarama,public bibliographic metadata and aggregate CSR section labels only,no,no,yes,C06 search log and source-record CSV created under doktoratezi outputs; no CSR body edit in this step,CSR integration to be handled in a later explicit editing step
2026-07-13,"pubmed-epmc, openalex, zotero-refs, zotero_env_bridge",claude-opus-4-8,ch05 B1 referans kapisi: 7 duz-metin kunyeyi dogrula/ekle/bagla,published-bibliographic-metadata,no,no,yes,"4 yeni kaynak (streisandMonaghan2014, laffel2003teamwork, cicchetti1994, kennyKashyCook2006) bib+Zotero 9ZFDHMZA'ya eklendi; ch05'te 9 atif @key olarak baglandi; Goodman&Gotlib->goodman2020, Cameron->rohner2004+pinquart2013, Stuart&Hodges->lummerAikey2021 mevcut cite-ok anahtarlara yonlendirildi",
