kume	claim	source_ids	bib_key	bulgu_ankraj	population_fit	measurement_fit	fulltext_locator	iliski	confidence
C5	ICC yorum bantları otoritesi (Cicchetti): <0,40 zayıf/fakir; 0,40-0,59 orta; 0,60-0,74 iyi; >=0,75 mükemmel — bizim havuz ICC 0,00-0,11 aralığının 'fakir-zayıf' band etiketinin kanonik dayanağı.	DOI:10.1037/1040-3590.6.4.284	cicchetti1994	apa_t13	n/a — psikometrik yöntem otoritesi	direct — ICC eşik bantları; bizim 4/4 alt ölçekte 'fakir-zayıf' band raporlamasını dayandırır	abstract-only; bantlar standart-dokümante (in-repo vetted bib)	benzer	high
C5	ICC form seçimi ve raporlama otoritesi (Koo-Li): 10 ICC formu farklı varsayım/yorum taşır; güvenilirlik %95 GA temelli değerlendirilmeli (<0,5 zayıf, 0,5-0,75 orta, 0,75-0,90 iyi, >0,90 mükemmel) — hem 'fakir-zayıf' band hem Kenny k'nın geniş güven aralığının raporlanması gerekliliğini destekler.	DOI:10.1016/j.jcm.2016.02.012; PMID:27330520	YENI:koo2016iccGuideline	CSR#h5-karar	n/a — psikometrik yöntem otoritesi	direct — ICC form/GA raporlama standardı; Kenny k geniş GA yorumunu ve düşük-uyum sınıflamasını çerçeveler	abstract-only (PubMed metadata doğrulandı; bantlar abstract içinde)	benzer	high
C5	Değiştirilebilir diyadlar için SEM (Olsen-Kenny): diadik veride ortak-yön (common fate) latent uyum, ayrık informant raporlarından ayrıştırılarak modellenir — bizim Olsen-Kenny latent reddetme (r=0,19; DM 0,29/kontrol 0,17) analizinin kanonik yöntem kaynağı.	DOI:10.1037/1082-989X.11.2.127	olsenKenny2006interchangeableDyads	CSR#h5-karar	n/a — diadik yöntem otoritesi (Kenny-Kashy-Cook geleneği)	direct — kullanılan latent diadik model; DM modelinin zayıf uyumu bu çerçevede yorumlanır	abstract-only (in-repo vetted bib)	benzer	high
C5	Ölçüm değişmezliği (measurement invariance) teknikleri informant ayrışmalarını saptamak için KAVRAMSAL/METODOLOJİK olarak uygun değildir — yani düşük anne-çocuk uyumu bir 'ölçüm invaryansı ihlali/method artefaktı' olarak yorumlanmamalı, tözsel informant-varyansı olarak ele alınmalıdır.	DOI:10.3389/fpsyg.2022.931296	delosReyes2022discrepancies	CSR#h5-karar	partial — genç ruh sağlığı değerlendirmesi; ilke doğrudan transfer	indirect — invariance-reddi argümanı; düşük ICC'yi 'hata değil' okumamızı güçlendirir	abstract-only (in-repo vetted bib)	bosluk-doldurur	high
C5	T1DM gençlerinde psikososyal tarama diadik uyumu ALANA BAĞLIDIR: depresyon (ICC=0,787) ve anksiyete (ICC=0,781) semptom taramasında ebeveyn-genç uyumu 'iyi'dir ve ebeveyn proxy raporu anlamlı yüksektir — semptom alanında yüksek uyum, bizim ebeveynlik-algısı alanındaki fakir uyumla çelişir; bu, uyumun informant×boyut/alan etkileşimine bağlı olduğunu ampirik gösterir.	DOI:10.1093/jpepsy/jsz089; PMID:31769852	YENI:barryMenkhaus2020t1dScreening	apa_t13	direct — T1DM'li genç + ebeveyn diadları	direct — ICC ile diadik uyum; alan-karşıtlığı (semptom vs. ebeveynlik-algısı) doğrudan kıyaslanabilir	abstract-only (PubMed metadata doğrulandı; ICC değerleri abstract içinde)	farkli	high
C5	Sosyal İlişkiler Modeli (SRM) aile algısını algılayan (perceiver), hedef (target), ilişki ve aile bileşenlerine ayrıştırır — çok-informant varyansının bu boyutlara dağıldığını gösterir; bizim ÖZGÜN informant×boyut×deneyim ayrışma haritamız bu varyans-ayrıştırma mantığını T1DM triadik bağlamına taşıyarak literatürdeki multi-informant boşluğunu doldurur.	DOI:10.1111/1467-6494.t01-1-00001; OpenAlex:W2087285549	YENI:branje2003srmFamilyPerception	CSR#sec-genel-hipotez-ozet	partial — ergen ailelerinde kişilik yargıları; aile-algısı varyans yapısı transfer edilebilir	partial — SRM varyans bileşenleri vs. bizim ICC/Kenny k; kavramsal-yöntemsel köprü	abstract-only (OpenAlex metadata doğrulandı)	bosluk-doldurur	moderate
C6-Tema1	23 nitel çalışmayı sentezleyen güncel bir sistematik derleme, kronik hastalığı olan çocukların sağlıklı kardeşlerinin gereksinimlerinin ebeveyn dikkatinin hasta çocuğa yönelmesi nedeniyle sıklıkla gözden kaçtığını ve 'çok erken büyümek' örüntüsünü ortaya koyar.	DOI:10.1007/s00431-024-05826-7; PMID:39589595	tan2024siblingreview	niteliksel_kanonik_sonuclar#tema-1	partial — kronik pediatrik durumlar geneli (T1DM dahil ama izole değil)	indirect — nitel çalışmaların ikincil sentezi (birincil nitel değil)	abstract-only (tema haritalaması için yeterli; kritik sayısal endpoint yok)	benzer	high
C6-Tema1	Kronik hastalıklı kardeşe sahip 24 ailede çok-perspektifli nitel veri, sağlıklı kardeşlerin 'tetikte yardımcı', 'yerine geçen ebeveyn' ve 'ebeveyn yardımcısı' gibi görünmez bakım rolleri üstlendiğini ve bu yükün yaşça büyük ve kız kardeşlerde yoğunlaştığını gösterir.	DOI:10.1111/1467-9566.12627; PMID:29023907	YENI:webster2018siblingcaringroles	niteliksel_kanonik_sonuclar#tema-1	partial — epilepsili çocuk aileleri (T1DM değil)	direct — çok-perspektifli aile nitel görüşme tasarımı	abstract-only (rol kavramları abstract'ta net)	benzer	high
C6-Tema2	Kronik hastalıklı çocuğun annesinin deneyimini 'tıbbi kariyer' olarak kavramsallaştıran nitel bir çalışma, annenin hipervijilan hâle geldiğini, çocuğu adına 'savaştığını' ve bu aşırı-tetikte tutumun profesyonellerce 'nevrotik/aşırı koruyucu' diye yanlış-yorumlanmasıyla suçluluk-savunma döngüsüne girdiğini gösterir (anneliğin tıbbileşmesi).	DOI:10.1111/bjhp.12409; PMID:32150659	YENI:waiteJones2020medicalcareermother	niteliksel_kanonik_sonuclar#tema-2	partial — jüvenil idiyopatik artritli çocuk anneleri (T1DM değil; anneliğin tıbbileşmesi mekanizması transfer)	direct — sosyal inşacı temelli gömülü kuram, negatif vaka dahil	abstract-only (medikalizasyon+hipervijilans teması abstract'ta açık)	benzer	moderate
C6-Tema2	Tükenmişlik yaşayan 21 T1DM annesiyle yapılan nitel çalışma, anneliği 'imkânsız görev' (Mission Impossible) olarak temalaştırır: gönülsüz üstlenilen sürekli sorumluluk, 'olağanüstü annelik' zorunluluğu ve kendini sürekli değerlendirme.	DOI:10.1016/j.pedn.2017.06.002; PMID:28888496	YENI:lindstrom2017missionimpossible	niteliksel_kanonik_sonuclar#tema-2	direct — T1DM tanılı çocuk anneleri	direct — yarı yapılandırılmış görüşme + içerik analizi	abstract-only (ana tema ve iki alt-tema abstract'ta)	benzer	high
C6-Tema2	T1DM'li çocukların ebeveynleriyle yapılan nitel çalışma, gece boyu glikoz izlemi ve hipoglisemi korkusunun uyku bozukluğu ürettiğini; bu gece bakım yükü ve 'hafif uyuma' halinin özellikle annelerde belirgin olduğunu gösterir (hipervijilansın somut tezahürü).	DOI:10.1080/15402002.2019.1647207; PMID:31370700	YENI:macaulay2020parentalsleep	niteliksel_kanonik_sonuclar#tema-2	direct — T1DM tanılı çocuk ebeveynleri (10 anne/10 baba)	direct — bireysel yarı yapılandırılmış görüşme (PSQI+aktigrafi karma)	abstract-only (annelerde yoğun gece yükü bulgusu abstract'ta)	benzer	high
C6-Tema2	T1DM tanılı çocuk annelerinin bakım yüküyle başa çıkmasını inceleyen nitel çalışma, karmaşık ve titiz gündelik tıbbi bakımın aile dengesini bozarak bakımı süreğen bir işe dönüştürdüğünü doğrudan temalaştırır.	DOI:10.1186/s12902-022-01045-z; PMID:35562744	haghighiMoghadam2022mothers	niteliksel_kanonik_sonuclar#tema-2	direct — T1DM tanılı çocuk anneleri	direct — nitel görüşme temelli	abstract-only	benzer	high
C6-Tema3	T1DM tanılı 40 ergenle yapılan tematik analiz, tüm örneklemin diyabeti anlamlı bir yük ve 'daha az normal' hissettiren bir durum olarak tanımladığını; damgalanma ile kimlik-entegrasyonunun eşzamanlı işlediğini ve bilgi paylaşımının çoğunlukla olumlu benlik değişimiyle ilişkili olduğunu gösterir.	DOI:10.1177/1049732316628835; PMID:26893304	YENI:commissariat2016identity	niteliksel_kanonik_sonuclar#tema-3	direct — T1DM tanılı ergenler (ABD)	direct — yarı yapılandırılmış görüşme + tematik analiz	abstract-only (normalleşme/damgalanma/kimlik temaları abstract'ta)	benzer	high
C6-Tema3	T1DM'li ergenlerin geçiş bakımı deneyimini inceleyen odak grup çalışması dört tema (Individualization/Identity/Interconnection/Impediment) tanımlar: 'Kimlik' teması diyabet damgası ve Tip 2 ile karıştırılmayı, 'Engel' teması ise kısıtlayıcılık ve duygusal yükü kapsar (damgalanma-özerklik gerilimi).	DOI:10.1111/dme.14443; PMID:33107064	YENI:leung2021fourIs	niteliksel_kanonik_sonuclar#tema-3	direct — geçiş yaşındaki T1DM ergenleri	direct — odak grup + satır-satır kodlama	abstract-only (dört tema ve alt-boyutları abstract'ta)	benzer	high
C6-Tema4	İllness intrusiveness (hastalık müdahaleciliği) çerçevesini aileye taşıyan seminal çalışma, hastalık kaynaklı yaşam-kesintisinin aile ortamına yayıldığını, hastaların eşlerinden daha yüksek müdahalecilik bildirdiğini (aile-içi algı tutarsızlığı) ve aile ortamını hastalığa uyarlama yükünü çoğunlukla kadınların üstlendiğini gösterir.	DOI:10.1007/BF02895149; PMID:9706357	YENI:devins1997illnessintrusiveness	niteliksel_kanonik_sonuclar#tema-4	indirect — erişkin son-dönem böbrek hastalığı hasta-eş çiftleri (pediatrik/T1DM değil; kavram-düzeyi transfer)	partial — nicel Illness Intrusiveness + Family Environment Scale; aktarılabilir içgörü aile-içi algı tutarsızlığı	abstract-only (yayılım+eş tutarsızlığı+kadın yükü bulgusu abstract'ta)	benzer	moderate
C6-Tema4	Türkiye'de 10 anne ve 10 çocukla yürütülen fenomenolojik nitel çalışma, T1DM bakımının anne ve baba deneyimlerini rol-temelli ayrıştırdığını (anneler parmak-delme/destek-bulma/beslenme zorluklarını, babalar mali yük ve izin sorununu daha çok yaşar; şok-üzüntü-kayıp korkusu ortak) gösterir.	DOI:10.1002/nop2.70673; PMID:42433195	YENI:uludasdemir2026motherfather	niteliksel_kanonik_sonuclar#tema-4	partial — Türkiye T1DM ebeveynleri; rol-farklılaşması anne-baba düzeyinde (kardeş üçlüsü yok)	direct — fenomenolojik yarı yapılandırılmış görüşme	abstract-only (rol-temelli farklılaşma temaları abstract'ta)	benzer	high
C6-Tema4	Bilgi verici tutarsızlığı (informant discrepancy) literatürü, aynı olguyu farklı bilgi vericilerin farklı raporlamasının ölçüm hatası değil bağlamsal-yapısal bir olgu olduğunu savunur; ancak bu çerçeve nicel psikometri temellidir ve anne-T1DM'li çocuk-sağlıklı kardeş ÜÇLÜSÜNÜN aynı-ev deneyimini rol-temelli nitel okuyan bir tasarım literatürde eksiktir.	DOI:10.3389/fpsyg.2022.931296; PMID:35869503	delosReyes2022discrepancies	niteliksel_kanonik_sonuclar#tema-4	indirect — çocuk ruh sağlığı ölçümü genel (nicel çerçeve)	indirect — nicel ölçüm-değişmezliği tartışması; triadik NİTEL operasyonelleştirme yok	abstract-only (çerçeve; sayısal endpoint metne girmeyecek)	bosluk-doldurur	moderate
C7	[KEŞFİSEL] Nedensel aracılıkta dolaylı etkinin gizli karıştırıcıya duyarlılığı, sequential ignorability varsayımı altında bir ρ (aracı-sonuç hata korelasyonu) parametresiyle resmi olarak sınanır; bu çerçeve bizim ns-dolaylı etki + 3/3 pozitif doğrudan (c') örüntümüzün kırılganlığını yorumlamak için yöntemsel dayanaktır (hipotez-üretici).	DOI:10.1214/10-sts321; OpenAlex:W2056621649	YENI:imaiKeeleYamamoto2010mediationDuyarlilik	apa_t14	indirect — genel istatistik metodoloji, T1DM örneklemi değil; aracılık tasarımımıza doğrudan uygulanabilir çerçeve	direct — uyguladığımız Imai-Keele-Tingley ρ-duyarlılık prosedürünün kanonik kaynağı	abstract+metadata (OpenAlex/Statistical Science OA); ρ-duyarlılık tanımı doğrulandı	benzer	high
C7	[KEŞFİSEL] İki ağ yapısını global güç (global strength), kenar ağırlığı ve tek tek kenarlar açısından permütasyon temelli karşılaştıran Network Comparison Test, grupların ağ topolojisinde farklılaşıp farklılaşmadığını sınar; bizim NCT global strength invaryansımız (p=0,86) bu testin 'fark yok' sonucuyla yorumlanır (keşfisel).	DOI:10.1037/met0000476; PMID:35404628; OpenAlex:W4225598392	YENI:vanBorkulo2022nct	apa_t17	indirect — psikometrik ağ metodolojisi; kesitsel grup karşılaştırması tasarımımıza uygun	direct — raporladığımız NCT global strength invaryans testinin kanonik yöntem kaynağı	abstract+metadata (PubMed/Psychological Methods)	benzer	high
C7	[KEŞFİSEL] Psikolojik değişkenler arası GGM ağları, EBIC ile ayarlanan graphical LASSO düzenlileştirmesiyle seyrek (sparse) kısmi korelasyon yapıları olarak tahmin edilir; bu tutorial bizim EBIC-LASSO GGM kestirimimizin yöntemsel standardını sağlar (hipotez-üretici).	DOI:10.1037/met0000167; OpenAlex:W2462099493	YENI:epskampFried2018ggm	apa_t17	indirect — genel psikometrik ağ metodolojisi	direct — uyguladığımız EBIC-LASSO GGM (qgraph) prosedürünün birincil metodolojik referansı	abstract+metadata (OpenAlex/Psychological Methods)	benzer	high
C7	[KEŞFİSEL] Latent sınıf/profil modellerinde sınıf sayısı kararı için Monte Carlo kanıtı BIC ve bootstrap olabilirlik oranı testini (BLRT) en güvenilir göstergeler olarak işaret eder; entropy ise sınıflandırma kesinliğinin (bizde 0,81) ölçüsüdür — bu bizim BIC-temelli 3-profil (LPA) ve 2-sınıf (LCA) çözümlerimizin öneri-düzeyinde tutulması gerektiğini gösterir (keşfisel).	DOI:10.1080/10705510701575396; DOI:10.1016/j.jvb.2020.103445; OpenAlex:W2090330784; OpenAlex:W3031052835	YENI:nylund2007sinifSayisi	apa_t15	indirect — genel karışım-modeli metodolojisi	direct — sınıf-sayısı kararı ve entropy yorumu için uyguladığımız kriterlerin kaynağı	abstract+metadata (OpenAlex); iki bağımsız metodolojik kaynakla çapraz-doğrulandı	benzer	high
C7	[KEŞFİSEL] Kişi-merkezli (person-oriented) latent profil analizleri ebeveynlik boyutlarından niteliksel olarak ayrışan ebeveynlik profilleri türetip bunları çocuğun/ergenin uyumuyla ilişkilendirebilir; bizim 'Adapte/Tükenmiş/Standart' 3-profil önerimiz T1DM bağlamında bu yaklaşımın henüz yapılmamış bir uygulamasıdır (hipotez-üretici, boşluk-doldurucu).	DOI:10.1007/s10964-021-01538-5; OpenAlex:W3208432070	YENI:otonomiEbeveynlikProfilleri2021	apa_t16	partial — ergen/ebeveyn örneklemi, kronik hastalık dışı; kişi-merkezli ebeveynlik tipolojisi yaklaşımı transfer edilebilir	partial — ebeveynlik boyutları üzerinden LPA, EMBU alt-ölçekleriyle kavramsal örtüşme	abstract-only (OpenAlex/J Youth Adolescence)	bosluk-doldurur	moderate
C7	[KEŞFİSEL] Karar-eğrisi analizi (DCA), bir öngörü modelinin klinik yararını eşik olasılıkları boyunca 'net fayda' üzerinden değerlendirir ve modelin tümünü-tedavi/hiçbirini-tedavi stratejilerine kıyaslar; bizim genişletilmiş risk skorumuzun (AUC 0,58→0,70) yalnızca marjinal net fayda göstermesi, artmış AUC'nin klinik kullanışlılığa doğrudan çevrilemeyeceğini vurgular (keşfisel).	DOI:10.1177/0272989X06295361; PMID:17099194; DOI:10.1186/s41512-019-0064-7; OpenAlex:W2977262858	YENI:vickersElkin2006dca	apa_t18	indirect — orijinal örnek prostat kanseri; net-fayda çerçevesi klinik risk skorumuza uygulanabilir	direct — uyguladığımız DCA/net-fayda metodolojisinin kanonik kaynağı + yorum kılavuzu	abstract+full-abstract (PubMed PMC2577036) + tutorial abstract; net-fayda tanımı doğrulandı	benzer	high
C7	[KEŞFİSEL] Toplam-puan (manifest) skorlama ölçüm hatasını göz ardı ederek etki büyüklüklerini zayıflatır (attenuation); gizli değişken/IRT modelleri hatayı ayrıştırarak daha az yanlı kestirim verir — bu bizim taban-duyarlı IRT latent d=0,54 vs manifest d=0,37 örüntümüzü ölçüm-hatası düzeltmesi çerçevesinde açıklar (hipotez-üretici, boşluk-doldurucu).	DOI:10.3758/s13428-020-01398-0; OpenAlex:W3018219061	YENI:mcneishWolf2020toplamPuan	apa_t20	indirect — genel psikometrik ölçüm metodolojisi	direct — EMBU taban etkisi + latent-vs-manifest skorlama sorunumuza doğrudan uygulanan attenuation/latent-düzeltme argümanı	abstract+metadata (OpenAlex/Behavior Research Methods)	bosluk-doldurur	high
C7	[KEŞFİSEL] Eşdeğerlik testi (TOST — iki tek-yönlü test), önceden belirlenmiş bir eşdeğerlik sınırı içinde etkinin 'anlamlı derecede küçük' olduğunu pozitif olarak sınar ve p>0,05'i 'etki yok' saymanın yanlışını düzeltir; bizim TOST temelli boş-etki değerlendirmelerimiz bu çerçeveyle yorumlanır (keşfisel).	DOI:10.1177/2515245918770963; OpenAlex:W2788930055	YENI:lakens2018esdegerlik	apa_t21	indirect — genel istatistiksel çıkarım metodolojisi	direct — uyguladığımız TOST eşdeğerlik prosedürünün tutorial kaynağı	abstract+metadata (OpenAlex/AMPPS)	benzer	high
C7	[KEŞFİSEL] Ölçülmemiş karıştırıcıya duyarlılık, E-değeri (gözlenen ilişkiyi açıklamak için gereken minimum karıştırıcı-ilişki gücü) ve omitted-variable-bias temelli sensemakr çerçevesiyle nicelenir; bizim E-değeri aralığımız (1,36-1,59) ilişkilerin ortalama-güçte bir karıştırıcıyla açıklanabilir kırılganlıkta olduğunu gösterir (hipotez-üretici).	DOI:10.7326/M16-2607; DOI:10.1111/rssb.12348; OpenAlex:W2735301415; OpenAlex:W2996483157	vanderweeleDing2017evalue	apa_t21	indirect — genel nedensel çıkarım duyarlılık metodolojisi	direct — raporladığımız E-değeri + sensemakr duyarlılık analizlerinin kanonik kaynakları	abstract+metadata (OpenAlex); iki kaynak connector'la doğrulandı; her ikisi de references.bib'de mevcut	benzer	high
C7	[KEŞFİSEL] Çoklu-evren (multiverse) ve spesifikasyon-eğrisi analizleri, makul tüm analitik seçimler kümesi boyunca sonucu yeniden hesaplayarak bulgunun analiz-yolu seçimlerine bağımlılığını şeffaflaştırır; bizim multiverse robustluk taramamız bu çerçevede raporlanır ve sonuçların keşfisel/kırılgan doğasını görünür kılar.	DOI:10.1177/1745691616658637; DOI:10.1038/s41562-020-0912-z; OpenAlex:W2526501380; OpenAlex:W3044225844	steegen2016multiverse	apa_t21	indirect — genel araştırma-metodolojisi/açık bilim çerçevesi	direct — uyguladığımız multiverse + spesifikasyon-eğrisi robustluk yöntemlerinin kanonik kaynakları	abstract+metadata (OpenAlex); iki kaynak da references.bib'de mevcut, DOI'ler doğrulandı	benzer	high
C7	[KEŞFİSEL] Simetrik bifactor modeller genel faktörde anomali/aşırı-uydurma üretebildiğinden bifactor-(S−1) yaklaşımı bir referans-alan faktörünü sabitleyerek yorumlanabilir genel faktör tanımlar; bizim bifactor S-1 çözümümüzün sınır-altı kalması, genel faktör yorumunun bu kısıtlarla ele alınması gerektiğini gösterir (hipotez-üretici).	DOI:10.1037/met0000083; OpenAlex:W2509369262	YENI:eid2017bifactorS1	apa_t20	indirect — genel psikometrik faktör-analizi metodolojisi	direct — uyguladığımız bifactor-(S−1) modelinin foundational kaynağı	abstract+metadata (OpenAlex/Psychological Methods)	farkli	high
C8	Çin ergen örnekleminde s-EMBU'nun üç faktörlü yapısı (Reddetme/Duygusal Sıcaklık/Aşırı Koruma) EFA+CFA ile doğrulanmış ve alt ölçek Cronbach α değerleri (Reddetme dâhil) 0,71-0,81 aralığında yeterli iç tutarlılık göstermiştir.	DOI:10.2466/02.08.09.21.PR0.110.1.263-275; PMID:22489392	YENI:li2012sEmbuChinese	4.2 (EMBU-C reddetme α=0,72)	partial — Çinli ergen topluluk örneklemi; tezin çocuk/kardeş T1DM örneklemine göre yaş/klinik bağlam farklı	direct — aynı s-EMBU ailesi ve Reddetme alt ölçeği; ancak kanonik 3-faktör (tezde 4-faktör test edildi)	abstract-only	benzer	high
C8	İspanyol klinik çocuk örnekleminde EMBU-Ç'de Reddetme ve Duygusal Sıcaklık α>0,73 iken kontrol/aşırı koruma alt ölçeği önceki çalışmalarda olduğu gibi belirgin biçimde düşük iç tutarlılık göstermiştir; yani EMBU'da belirli alt ölçeklerin düşük α'sı yerleşik bir örüntüdür.	DOI:10.1016/j.comppsych.2009.08.003; PMID:20579519	YENI:penelo2010embucClinical	4.2 (alt ölçekler α 0,61-0,81; taban etkili maddeler)	partial — klinik çocuk (8-12 yaş), tezin çocuk yaş bandına yakın ancak T1DM değil	direct — EMBU çocuk formu doğrudan	abstract-only	benzer	high
C8	s-EMBU-A ergen klinik örnekleminde üç faktörlü model kabul edilebilir uyum vermiş (CFI=0,90; RMSEA=0,054), baba ve anne derecelendirmeleri için parametreler eşdeğer (invaryans) bulunmuş ve tüm alt ölçekler α≥0,74 iç tutarlılık taşımıştır.	DOI:10.1016/j.comppsych.2011.01.009; PMID:21397217	YENI:penelo2012sEmbuAdolescent	4.2 (configural+metric invariance sağlandı; scalar sınırda)	partial — ergen psikiyatri ayaktan örneklem (T1DM değil)	direct — s-EMBU; baba/anne parametre eşdeğerliği tezin gruplar-arası invaryansına doğrudan analog	abstract-only	benzer	high
C8	s-EMBU'nun geliştirildiği çok-uluslu (Yunanistan/Guatemala/Macaristan/İtalya) çalışmada 23 maddelik kısa form, Reddetme–Duygusal Sıcaklık–Aşırı Koruma olmak üzere üç faktörlü kanonik yapıyı ortaya koymuştur.	DOI:10.1016/S0191-8869(98)00192-5; OpenAlex:W2020124029	arrindell1999sembu	4.2 (4-faktör Hu-Bentler birleşik kriter karşılanmadı)	indirect — üniversite öğrencisi çok-uluslu örneklem	direct — s-EMBU kaynak ölçek; kanonik 3-faktör mimarisi	abstract-only (tam-metin 403; alt ölçek α değerleri çıkarılamadı)	farkli	high
C8	s-EMBU'nun üç faktörlü yapısı ve kabul edilebilir güvenirliği Avustralya, İspanya ve Venezuela örneklemlerinde çapraz-ulusal olarak tekrarlanmış; yapı kültürler-arası taşınabilir bulunmuştur.	DOI:10.1027/1015-5759.21.1.56; OpenAlex:W2142671454	arrindell2005sembu	4.2 (configural+metric invariance sağlandı)	indirect — yetişkin/öğrenci çok-uluslu örneklem	direct — s-EMBU; kanonik 3-faktör replikasyonu	abstract-only	benzer	moderate
C8	Cronbach α madde sayısına duyarlıdır; az maddeli (kısa) alt ölçeklerde maddeler homojen olsa dahi α düşük kestirilebilir; dolayısıyla düşük α tek başına yapı geçersizliğinin kanıtı sayılamaz ve madde-arası korelasyonla birlikte yorumlanmalıdır.	DOI:10.5116/ijme.4dfb.8dfd; OpenAlex:W2061935394	YENI:tavakolDennick2011alpha	4.2 (EMBU-P reddetme 8 madde, α=0,45)	indirect — metodolojik/genel	indirect — klasik test kuramı güvenirlik ilkeleri	abstract-only (editorial; kanonik ilke)	bosluk-doldurur	high
C8	İç tutarlılığın yorumunda ortalama madde-arası korelasyon temel homojenlik göstergesidir; çok düşük ortalama madde-arası korelasyon (ör. ~0,10) alt ölçeğin zayıf iç yapısına işaret eder ve α'nın düşüklüğünü açıklar (dar/homojen olmayan içerik).	DOI:10.1037/1040-3590.7.3.309; OpenAlex:W2005364767	YENI:clarkWatson1995validity	4.2 (madde-arası r=0,10; 7/8 madde taban>%80)	indirect — metodolojik/genel	direct — ortalama madde-arası korelasyon göstergesi tezdeki r=0,10 yorumuna doğrudan uygulanır	abstract-only (kanonik öneri; önerilen ~0,15-0,50 aralığı tam-metinle doğrulanmadı — bkz gap_log)	bosluk-doldurur	moderate
C8	Cronbach α gerçek güvenirliğin bir alt sınırıdır ve tek boyutluluğun kanıtı değildir; bu nedenle α yanında omega türü güvenirlik ve boyutluluk analizlerinin birlikte raporlanması önerilir.	DOI:10.1007/s11336-008-9101-0; OpenAlex:W2129375743	YENI:sijtsma2009alpha	4.2 (α ile birlikte ω=0,48 raporlandı)	indirect — metodolojik/genel	indirect — güvenirlik kuramı; tezin α+ω çift raporlamasını gerekçelendirir	abstract-only	benzer	high
C8	Çok kısa ölçeklerde (ör. iki maddelik) Cronbach α uygun bir güvenirlik kestiricisi değildir ve Spearman-Brown gibi alternatifler tercih edilmelidir; kısa alt ölçeklerde güvenirlik dikkatle yorumlanmalıdır.	DOI:10.1007/s00038-012-0416-3; OpenAlex:W1995949104	YENI:eisinga2013twoItem	4.2 (kısa reddetme alt ölçeği; düşük α)	indirect — metodolojik/genel	indirect — kısa-ölçek güvenirlik kuramı	abstract-only	bosluk-doldurur	moderate
C8	Ölçüm invaryansı hiyerarşisinde configural→metric→scalar sırası izlenir; kısmi (partial) scalar invaryans, grup ortalamalarının koşullu karşılaştırılabilirliği için yaygın kabul gören ve raporlanabilir bir çözümdür.	DOI:10.1016/j.dr.2016.06.004; OpenAlex:W2469775770	putnickBornstein2016measurementInvariance	4.2 (configural+metric sağlandı; scalar sınırda/item-collapse)	indirect — metodolojik/genel	direct — invaryans raporlama çerçevesi tezin scalar-sınırda bulgusuna doğrudan uygulanır	abstract-only	bosluk-doldurur	high
C8	EMBU (algılanan ebeveyn tutumları) Türk örneklemlerinde uygulanmakta ve Reddetme boyutu kullanılabilmektedir (ör. Türk genç yetişkinlerde EMBU reddetme ölçümü); ancak pediatrik kronik hastalık / Tip 1 diyabet örnekleminde EMBU'nun psikometrik uyarlama/geçerlik kanıtı bulunmamaktadır.	DOI:10.3390/ijerph17072176; PMID:32218210	YENI:naivarSen2020embuTurkey	4.2 (Türk T1DM örnekleminde EMBU psikometrisi)	partial — Türk genç yetişkin topluluk (pediatri/T1DM değil)	partial — EMBU reddetme kullanımı; ölçek adaptasyon-psikometrisi çalışması değil	abstract-only	bosluk-doldurur	moderate
